"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"WRTMBRG_10mm";1;"LOGO";;;
2;"REF**";"OTK_Logo_10mm";1;"OTK_Logo_3";;;
3;"J201";"DIN41612_B_2x32_Horizontal";1;"DIN41612_2x32_B";;;
4;"M101";"EuroCard_Handle";1;"Eurocard_Handle";;;
5;"U601,U303";"SOIC-8_3.9x4.9mm_P1.27mm";2;"PCA9515";;;
6;"D302,D303,D301";"LED_D3.0mm";3;"LED";;;
7;"X701";"raspberrypi4";1;"RPI_4+Run";;;
8;"FB101,FB102";"FB_1210_3225Metric_Pad1.42x2.65mm_HandSolder";2;"100R";;;
9;"L201,L701";"16mm_Radial";2;"120uH_3A";;;
10;"SW701";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";1;"Tactile_90_Degeree";;;
11;"U301";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC14D";;;
12;"U401,U501,U502";"SOIC-20W_7.5x12.8mm_P1.27mm";3;"74HC245";;;
13;"C101";"C_1210";1;"1nF";;;
14;"C201,C207,C301,C302,C303,C401,C501,C502,C601,C706,C712";"C_0805";11;"100nF";;;
15;"C202,C203,C204,C205,C206,C208,C209,C210,C211,C212,C701,C702,C703,C704,C705,C707,C708,C709,C710,C711";"C_0805";20;"10uF";;;
16;"Q601";"SOT-23";1;"2N7002";;;
17;"R101,R102,R701,R702,R703,R704";"R_1210";6;"0R";;;
18;"R103";"R_1210";1;"1M";;;
19;"R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R230,R231,R232,R233,R234,R235,R236,R237,R604,R705";"R_0805";39;"100R";;;
20;"R301,R302,R306";"R_0805";3;"0R";;;
21;"R303,R304,R305";"R_0805";3;"220R";;;
22;"R307,R308,R309,R310";"R_0805";4;"3k9";;;
23;"R401,R402,R501,R502,R503,R504";"R_0805";6;"1k";;;
24;"R601,R602,R606,R607";"R_0805";4;"1k8";;;
25;"R603,R605";"R_0805";2;"4k7";;;
26;"U302";"SOIC-8_3.9x4.9mm_P1.27mm";1;"CAT24C32";;;
